"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS011344","KY0570100ALPR","Nicholasville","Jessamine County","KY","Nicholasville Police Department","Police","The Nicholasville Police Department began using Flock Safety automated license plate readers in 2022.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.jessaminejournal.com/2022/12/29/npd-working-on-policy-for-new-flock-cameras/?utm_source=site&utm_medium=organic&utm_campaign=recirculation","","Jessamine Journal","","12/29/2022","","","","","","","","","","",""
"AOS011345","IL0167900ALPR","Oak Forest","Cook County","IL","Oak Forest Police Department","Police","The Oak Forest Police Department installed 17 Flock Safety automated license plate readers In February 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.chicagotribune.com/suburbs/daily-southtown/ct-sta-oak-forest-police-audio-detection-st-0416-20230414-2f2a6yzvyjhh3pe2y5dv4ezja4-story.html","","Chicago Tribune","","4/14/2023","","","","","","","","","","",""
"AOS011347","MS0580100ALPR","Pontotoc","Pontotoc County","MS","Pontotoc Police Department","Police","The Pontotoc Police Department installed eight Flock Safety automated license plate readers in 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.djournal.com/pontotoc/news/pontotoc-aldermen-approve-contract-for-eight-flock-license-plate-cameras-to-assist-in-crime-investigations/article_9c4b047d-aec9-5b66-b710-1fcf135a6045.html","","Pontotoc Progress","","1/23/2023","","","","","","","","","","",""
"AOS011348","OH0750100ALPR","Sydney","Shelby County","OH","Sidney Police Department","Police","The Sidney Police Department uses Flock Safety automated license plate readers","Municipal","Automated License Plate Readers","","Flock Safety","https://www.whio.com/news/an-effective-tool-law-enforcement-soon-be-implemented-tipp-city/XQ4FW7LUERD7JAGWTEKPOC3MZA/","","WHIO","","1/30/2023","https://www.sidneydailynews.com/2022/06/07/safety-cameras-installed-around-sidney/","","Sidney Dailey News","","6/7/2022","","","","","",""
"AOS011349","OH0550300ALPR","Tipp City","Miami County","OH","Tipp City Police Department","Police","As of April 2024, the Tipp City Police Department operates Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/tipp-city-oh-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011350","IN0790000ALPR","Lafayette","Tippecanoe County","IN","Tippecanoe County Sheriff's Office","Sheriff","The Tippecanoe County Sheriff's Office purchased six Flock Safety automated license plate readers in 2023.","County","Automated License Plate Readers","","Flock Safety","https://www.wlfi.com/news/sheriffs-office-joins-the-flock-with-new-crime-stopping-cameras/article_0cd9b80c-a7f0-11ed-9b97-eb1d846b9223.html","","WLFI","","2/8/2023","","","","","","","","","","",""
"AOS011351","NY0070100ALPR","Elmira","Chemung County","NY","Elmira Police Department","Police","As of April 2024, the Elmira Police Department operates 41 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/elmira-city-ny-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011353","OH0770700ALPR","Macedonia","Summit County","OH","Macedonia Police Department","Police","The Mentor Police Department uses Flock Safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.newarkadvocate.com/story/news/local/2022/09/10/akron-flock-license-plate-traffic-cameras-installed/65937292007/","","Akron Advocate","","1010/2022","","","","","","","","","","",""
"AOS011354","OH0430600ALPR","Mentor","Lake County","OH","Mentor Police Department","Police","The Solon Police Department uses Flock Safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.newarkadvocate.com/story/news/local/2022/09/10/akron-flock-license-plate-traffic-cameras-installed/65937292007/","","Akron Advocate","","1010/2022","","","","","","","","","","",""
"AOS011355","OH0184900ALPR","Solon","Cuyahoga County","OH","Solon Police Department","Police","The Macedonia Police Department uses Flock Safety automated license plate readers. Additionally, the Cuyahoga County Sheriff operates a network of 80 automated license plate readers throughout Northeastern Ohio in partnership with 20 local law enforcement agencies, including the Solon Police Department.","Municipal","Automated License Plate Readers","","Flock Safety, Selex","https://www.newarkadvocate.com/story/news/local/2022/09/10/akron-flock-license-plate-traffic-cameras-installed/65937292007/","","Akron Advocate","","1010/2022","https://www.wkyc.com/article/news/are-license-plate-readers-being-used-in-your-city/95-24cb1a8a-1815-45b7-aa7b-d6dbc8050227","","WKYC","","1/9/2019","https://web.archive.org/web/20201022022338/https://noaca-its.aecomonline.net/html/inv/el254.html","","Northeast Ohio Areawide Coordinating Agency","","1/13/2020",""
"AOS011356","OK0140100ALPR","Moore","Cleveland County","OK","Moore Police Department","Police","The Moore Police Department installed 10 Flock Safety automated license plate readers in 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.news9.com/story/6414df3d5baee4748c79c918/moore-police-expands-surveillance-by-adding-flock-cameras","","News 9","","3/17/2023","","","","","","","","","","",""
"AOS011360","TX1880100ALPR","Amarillo","Potter County","TX","Amarillo Police Department","Police","The Amarillo Police Department announced plans to integrate automated license plate readers with its real-time crime center in 2022.","Municipal","Automated License Plate Readers","","","https://www.newschannel10.com/2022/06/21/apd-working-real-time-crime-center-with-technology-help-make-community-safer/","","KFDA","","6/21/2022","","","","","","","","","","",""
"AOS011361","FL0460200ALPR","Fort Walton Beach","Okaloosa County","FL","Fort Walton Beach Police Department","Police","The Fort Walton Beach Police Department has spent roughly $100,000 on automated license plate readers.","Municipal","Automated License Plate Readers","","","https://www.nwfdailynews.com/story/news/local/2022/02/21/license-tag-readers-arent-spying-you-theyre-making-you-safer/6829622001/","","NWF Daily News","","2/21/2023","","","","","","","","","","",""
"AOS011362","NC0800000ALPR","Salisbury","Rowan County","NC","Rowan County Sheriff’s Office","Sheriff","The Rowan County Sheriff's Office has installed 14 Flock Safety automated license plate readers.","County","Automated License Plate Readers","","Flock Safety","https://www.salisburypost.com/2023/04/30/license-plate-reader-cameras-assist-area-law-enforcement/","","Salisbury Post","","4/30/3023","","","","","","","","","","",""
"AOS011363","IL0010300ALPR","Quincy","Adams County","IL","Quincy Police Department","Police","The Quincy Police Department received approval in spring 2023 to install 20 Flock Safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://muddyrivernews.com/top-stories/police-chief-says-license-plate-readers-should-be-installed-at-14-locations-around-city-by-late-spring/20230314070143/","","Muddy River News","","3/14/2023","","","","","","","","","","",""
"AOS011364","MA0031600ALPR","Seekonk","Bristol County","MA","Seekonk Police Department","Police","The Seekonk Police Department announced in 2022 it planned to install 20 Flock Safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://reportertoday.com/seekonk/stories/seekonk-police-to-install-20-cameras,41012","","Reporter Today","","1/17/2022","","","","","","","","","","",""
"AOS011365","OH0183600ALPR","North Royalton","Cuyahoga County","OH","North Royalton Police Department","Police","As of April 2024, the North Royalton Police Department operates Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/north-royalton-oh-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011367","SC0300100ALPR","Laurens","Laurens County","SC","Laurens Police Department","Police","The Laurens Police Department installed 25 Flock Safety automated license plate readers in 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.golaurens.com/news/laurens-police-installing-25-license-plate-reading-cameras/article_6a6fd064-dfea-11ed-90a7-e78a9f2f34d6.html","","Go Laurens","","4/20/2023","","","","","","","","","","",""
"AOS011368","OH0312000ALPR","Loveland","Hamilton County","OH","Loveland Police Department","Police","As of April 2024, the Loveland Police Department operates 10 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/loveland-oh-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011369","WA0390200ALPR","Sunnyside","Yakima County","WA","Sunnyside Police Department","Police","The Sunside Police Department planned to install 40 Flock Safety automated license plate readers in 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.sunnysidesun.com/news/sunnyside-police-install-flock-cameras-around-the-city/article_8ca121dc-d960-11ed-873f-6f74cb4afd76.html","","Sunnyside Sun","","4/12/2023","","","","","","","","","","",""
"AOS011370","OH0780600ALPR","Niles","Trumbull County","OH","Niles Police Department","Police","As of April 2024, the Niles Police Department operates Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/niles-oh-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011371","XX0000594ALPR","La Grange","Oldham County","KY","La Grange Police Department","Police","The La Grange Police Department installed four Flock Safety automated license plate readers in 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.wdrb.com/news/la-grange-oldham-county-police-departments-roll-out-flock-cameras-in-hopes-to-reduce-crime/article_974921b2-04ac-11ee-a041-3f9a4db23a00.html","","WDRB","","6/6/2023","","","","","","","","","","",""
